Longitude,Latitude,Pixel,Scan
132.225832,68.2565816,0,0
132.344217,68.2586797,100,0
132.4626,68.2607204,200,0
132.58098,68.2627036,300,0
132.69936,68.2646296,400,0
132.817741,68.2664982,500,0
132.936125,68.2683095,600,0
133.054512,68.2700636,700,0
133.172905,68.2717605,800,0
133.291303,68.2734003,900,0
133.40971,68.2749828,1000,0
133.528126,68.2765082,1100,0
133.646553,68.2779765,1200,0
133.764992,68.2793877,1300,0
133.883444,68.2807417,1400,0
134.00191,68.2820387,1500,0
134.120393,68.2832786,1600,0
134.238893,68.2844614,1700,0
134.357412,68.2855871,1800,0
134.475952,68.2866556,1900,0
134.594512,68.2876671,2000,0
134.713096,68.2886214,2100,0
134.831704,68.2895187,2200,0
134.950338,68.2903587,2300,0
135.068998,68.2911416,2400,0
135.187688,68.2918672,2500,0
135.306407,68.2925357,2600,0
135.425157,68.2931468,2700,0
135.543939,68.2937007,2800,0
135.662756,68.2941973,2900,0
135.781608,68.2946364,3000,0
135.900497,68.2950182,3100,0
136.019423,68.2953425,3200,0
136.13839,68.2956092,3300,0
136.257397,68.2958185,3400,0
136.376447,68.29597,3500,0
136.49554,68.2960639,3600,0
136.614678,68.2961001,3700,0
136.733863,68.2960784,3800,0
136.853096,68.2959989,3900,0
136.971185,68.2958631,3999,0
132.223258,68.2716157,0,100
132.341722,68.2737155,100,100
132.460183,68.2757578,200,100
132.578642,68.2777426,300,100
132.697101,68.2796701,400,100
132.815561,68.2815401,500,100
132.934023,68.2833529,600,100
133.052489,68.2851083,700,100
133.17096,68.2868064,800,100
133.289438,68.2884473,900,100
133.407924,68.290031,1000,100
133.526418,68.2915575,1100,100
133.644924,68.2930267,1200,100
133.763441,68.2944388,1300,100
133.881972,68.2957938,1400,100
134.000518,68.2970915,1500,100
134.119079,68.2983321,1600,100
134.237658,68.2995156,1700,100
134.356256,68.3006418,1800,100
134.474874,68.301711,1900,100
134.593514,68.3027229,2000,100
134.712177,68.3036776,2100,100
134.830863,68.3045752,2200,100
134.949576,68.3054155,2300,100
135.068316,68.3061986,2400,100
135.187084,68.3069244,2500,100
135.305881,68.3075929,2600,100
135.42471,68.3082041,2700,100
135.543572,68.3087579,2800,100
135.662468,68.3092543,2900,100
135.781399,68.3096933,3000,100
135.900366,68.3100748,3100,100
136.019372,68.3103988,3200,100
136.138417,68.3106652,3300,100
136.257504,68.310874,3400,100
136.376632,68.311025,3500,100
136.495804,68.3111184,3600,100
136.615022,68.3111539,3700,100
136.734286,68.3111315,3800,100
136.853598,68.3110512,3900,100
136.971765,68.3109146,3999,100
132.221141,68.2865766,0,200
132.339682,68.2886783,100,200
132.45822,68.2907224,200,200
132.576756,68.2927091,300,200
132.695292,68.2946382,400,200
132.813829,68.2965099,500,200
132.932369,68.2983243,600,200
133.050912,68.3000812,700,200
133.169461,68.3017809,800,200
133.288016,68.3034232,900,200
133.406579,68.3050082,1000,200
133.525152,68.306536,1100,200
133.643735,68.3080065,1200,200
133.76233,68.3094197,1300,200
133.880939,68.3107757,1400,200
133.999562,68.3120745,1500,200
134.118201,68.3133161,1600,200
134.236858,68.3145004,1700,200
134.355534,68.3156276,1800,200
134.47423,68.3166975,1900,200
134.592948,68.3177101,2000,200
134.711688,68.3186655,2100,200
134.830453,68.3195636,2200,200
134.949244,68.3204045,2300,200
135.068062,68.321188,2400,200
135.186908,68.3219142,2500,200
135.305784,68.322583,2600,200
135.424692,68.3231945,2700,200
135.543632,68.3237485,2800,200
135.662606,68.3242451,2900,200
135.781615,68.3246841,3000,200
135.900662,68.3250656,3100,200
136.019746,68.3253895,3200,200
136.13887,68.3256558,3300,200
136.258035,68.3258644,3400,200
136.377242,68.3260152,3500,200
136.496493,68.3261082,3600,200
136.61579,68.3261433,3700,200
136.735132,68.3261205,3800,200
136.854523,68.3260397,3900,200
136.972769,68.3259025,3999,200
132.218708,68.3015806,0,300
132.337327,68.303684,100,300
132.455943,68.3057299,200,300
132.574558,68.3077181,300,300
132.693172,68.3096488,400,300
132.811788,68.311522,500,300
132.930406,68.3133378,600,300
133.049028,68.3150961,700,300
133.167655,68.316797,800,300
133.286289,68.3184405,900,300
133.40493,68.3200267,1000,300
133.523581,68.3215555,1100,300
133.642243,68.3230271,1200,300
133.760917,68.3244413,1300,300
133.879604,68.3257982,1400,300
133.998306,68.3270978,1500,300
134.117024,68.3283401,1600,300
134.235759,68.3295252,1700,300
134.354514,68.3306529,1800,300
134.473289,68.3317234,1900,300
134.592085,68.3327366,2000,300
134.710904,68.3336924,2100,300
134.829748,68.3345909,2200,300
134.948617,68.3354321,2300,300
135.067514,68.3362158,2400,300
135.186439,68.3369422,2500,300
135.305394,68.3376112,2600,300
135.42438,68.3382227,2700,300
135.543399,68.3387767,2800,300
135.662452,68.3392732,2900,300
135.78154,68.3397121,3000,300
135.900666,68.3400934,3100,300
136.019829,68.340417,3200,300
136.139032,68.340683,3300,300
136.258276,68.3408911,3400,300
136.377562,68.3410415,3500,300
136.496892,68.3411339,3600,300
136.616267,68.3411685,3700,300
136.735689,68.341145,3800,300
136.855159,68.3410634,3900,300
136.973483,68.3409254,3999,300
