Longitude,Latitude,Pixel,Scan
133.283534,61.1514186,0,0
133.360638,61.1528202,100,0
133.437741,61.1541693,200,0
133.514843,61.1554658,300,0
133.591944,61.1567099,400,0
133.669046,61.1579015,500,0
133.746149,61.1590406,600,0
133.823253,61.1601272,700,0
133.900358,61.1611615,800,0
133.977467,61.1621433,900,0
134.054578,61.1630727,1000,0
134.131692,61.1639497,1100,0
134.208811,61.1647744,1200,0
134.285935,61.1655466,1300,0
134.363064,61.1662665,1400,0
134.440198,61.1669339,1500,0
134.517339,61.167549,1600,0
134.594486,61.1681117,1700,0
134.671642,61.168622,1800,0
134.748805,61.16908,1900,0
134.825976,61.1694855,2000,0
134.903157,61.1698385,2100,0
134.980347,61.1701392,2200,0
135.057547,61.1703874,2300,0
135.134759,61.1705831,2400,0
135.211981,61.1707264,2500,0
135.289215,61.1708171,2600,0
135.366462,61.1708553,2700,0
135.443722,61.170841,2800,0
135.520995,61.170774,2900,0
135.598282,61.1706545,3000,0
135.675584,61.1704823,3100,0
135.752902,61.1702574,3200,0
135.830235,61.1699798,3300,0
135.907584,61.1696495,3400,0
135.98495,61.1692664,3500,0
136.062334,61.1688304,3600,0
136.139735,61.1683416,3700,0
136.217155,61.1677999,3800,0
136.294595,61.1672052,3900,0
136.371279,61.1665642,3999,0
133.28217,61.1664323,0,100
133.359311,61.167835,100,100
133.436451,61.1691851,200,100
133.513589,61.1704827,300,100
133.590728,61.1717277,400,100
133.667866,61.1729203,500,100
133.745006,61.1740603,600,100
133.822146,61.1751479,700,100
133.899289,61.176183,800,100
133.976434,61.1771657,900,100
134.053582,61.1780959,1000,100
134.130734,61.1789737,1100,100
134.207889,61.1797991,1200,100
134.28505,61.1805721,1300,100
134.362215,61.1812927,1400,100
134.439386,61.1819608,1500,100
134.516564,61.1825766,1600,100
134.593748,61.1831399,1700,100
134.67094,61.1836508,1800,100
134.74814,61.1841093,1900,100
134.825349,61.1845154,2000,100
134.902566,61.184869,2100,100
134.979793,61.1851701,2200,100
135.05703,61.1854188,2300,100
135.134278,61.185615,2400,100
135.211538,61.1857586,2500,100
135.288809,61.1858498,2600,100
135.366092,61.1858883,2700,100
135.443389,61.1858743,2800,100
135.520699,61.1858077,2900,100
135.598023,61.1856884,3000,100
135.675362,61.1855165,3100,100
135.752716,61.1852918,3200,100
135.830085,61.1850145,3300,100
135.907471,61.1846843,3400,100
135.984874,61.1843013,3500,100
136.062295,61.1838655,3600,100
136.139733,61.1833767,3700,100
136.21719,61.1828351,3800,100
136.294666,61.1822404,3900,100
136.371387,61.1815994,3999,100
